titulo;clickbait_label_v2
O pesadelo dos investidores: a decisão do Banco Central que vai destruir seus lucros!;1
Você bebe café? O que descobriram sobre ele vai te deixar em choque!;1
O fim dos empregos? A nova IA da Microsoft que faz tudo por você.;1
Dinheiro esquecido? Veja agora se a Receita te deve uma fortuna!;1
Alerta vermelho! O fenômeno climático que vai devastar SP neste fim de semana.;1
A Apple enlouqueceu? O detalhe na câmera do novo iPhone que ninguém esperava.;1
A verdade oculta sobre o desemprego que o governo não quer que você veja.;1
Não estamos sós? A descoberta assustadora da NASA que muda tudo.;1
Abasteça agora! A reviravolta no preço da gasolina que vai parar os postos.;1
A traição da Netflix! O que eles fizeram com sua conta é imperdoável.;1
Humilhação histórica! O que o Brasil fez com a Argentina foi desumano.;1
O dólar derreteu! Descubra a hora exata de comprar antes que seja tarde.;1
Você está dormindo errado a vida toda! O segredo do sono que os médicos escondem.;1
O dia sombrio do Google: demissões em massa e pânico nos escritórios!;1
O milagre contra a diabetes? O remédio que a indústria queria esconder.;1
O fim do motor a combustão! Por que você deve vender seu carro agora.;1
O inferno na Terra! Imagens aterrorizantes da erupção que parou a Islândia.;1
Adeus TikTok? A nova função do Instagram que vai viciar você.;1
O escândalo do lucro! Para onde vai o dinheiro da Petrobras (revelado).;1
O veneno branco na sua cozinha: como o açúcar está te matando lentamente.;1
O golpe das companhias aéreas! Como viajar barato apesar do aumento absurdo.;1
A notícia que destruiu a internet: a verdade triste sobre o GTA 6.;1
Herói de quatro patas! O que este cachorro fez vai te fazer chorar.;1
O dono da internet? A jogada insana de Elon Musk que chocou o mundo.;1
A virada impossível! O detalhe na pesquisa que pode mudar a eleição.;1
A melhor lasanha do mundo! O ingrediente secreto da nonna revelado.;1
Olhamos para o abismo! A foto proibida do espaço que vai te dar pesadelos.;1
O Brasil decolou? A verdade sobre a economia que a TV não mostra.;1
Seu celular vai morrer? A lista negra do WhatsApp (verifique agora).;1
Sua coluna está pedindo socorro! O erro diário que está destruindo suas costas.;1
O segredo da loteria! Como um matemático garantiu que vai ganhar a Mega-Sena.;1
Pânico nos hospitais! A nova supergripe que está se espalhando rápido.;1
O roxinho virou ouro? O que o Nubank fez para lucrar tanto vai te surpreender.;1
O planeta está fervendo! Estamos à beira da extinção? Veja as fotos.;1
O fenômeno rosa! Por que ninguém consegue parar de falar sobre a Barbie.;1
Festa na bolsa! As ações que explodiram hoje e deixaram gente rica.;1
A companhia elétrica te odeia! O truque legal para zerar sua conta de luz.;1
Energia infinita? A bateria que carrega num piscar de olhos chegou.;1
Ele ganhou milhões e fez o impensável! A atitude que chocou a cidade.;1
Pare de beber água errado! A regra dos 2 litros é uma mentira?;1
Vitória dos gamers! O governo finalmente vai baixar os preços (confira).;1
Corra para o mercado! O preço do almoço despencou hoje.;1
Eles vão voltar! O verdadeiro motivo da missão lunar é assustador.;1
A volta do Bitcoin! Quem comprou ontem está rindo à toa hoje.;1
Seu chefe não quer que você saiba: a verdade libertadora sobre o Home Office.;1
A bebida da juventude! Tome isso todo dia e pareça 10 anos mais jovem.;1
Fim da linha! A operação cinematográfica que derrubou os reis do crime.;1
O fim da Alexa? Por que a Amazon está desligando sua assistente pessoal.;1
Desinstale agora! O aplicativo espião que está limpando contas bancárias.;1
Descubra as incríveis novidades do iPhone 13 que vão revolucionar sua vida!;1
Elon Musk surpreende o mundo com mais um lançamento espacial espetacular da SpaceX;1
Google investe fortuna em tecnologia revolucionária que vai mudar o mundo para sempre;1
Descubra a atualização secreta da Microsoft que vai proteger seu computador de hackers;1
Elon Musk surpreende o mercado automobilístico com o carro do futuro que vai te deixar sem palavras;1
Amazon revoluciona o mercado com a Alexa;1
Descubra a nova ferramenta incrível do Facebook que vai te surpreender com a tecnologia de realidade aumentada;1
Samsung firma parceria milionária para lançar smartphones revolucionários com chips incríveis;1
Intel lança processador incrível que vai mudar sua forma de usar o computador para sempre;1
Uber surpreende o mundo com o lançamento de carros autônomos que vão revolucionar o transporte;1
Governo revoluciona sistema educacional com nova medida! Descubra agora!;1
Escândalo no Congresso! Políticos corruptos em pânico com nova lei aprovada pelo Senado;1
Caos na saúde pública! Ministra toma atitude surpreendente para salvar vidas;1
Transformação urbana! Prefeito realiza milagre nas ruas da cidade;1
Polêmica na cultura! Deputados aprovam lei que vai revolucionar o cenário artístico do país;1
Escândalo! Vereador revela corrupção e fraude milionária na prefeitura;1
Guerra contra o crime! Governador toma medidas drásticas para acabar com a violência;1
Herói ambiental! Deputado propõe lei revolucionária para salvar o planeta;1
Presidente vira destaque mundial em encontro secreto! Grandes mudanças à vista;1
Surpresa! Time X conquista o título inédito de forma espetacular;1
Revelado! Jogador Y deixa torcida em choque ao fechar contrato milionário com time internacional;1
Polêmica! Técnico Z é dispensado após fracassar em série de jogos decisivos;1
Bomba! Time W surpreende ao fechar acordo milionário com estrela do futebol mundial;1
Drama no campo! Jogador V se machuca gravemente e deixa torcedores em desespero;1
Escândalo! Arbitragem é acusada de manipulação em jogo polêmico que termina em empate sem gols;1
Confira as imagens chocantes das obras no Estádio A para a grandiosa final do campeonato nacional;1
Escândalo no esporte! Jogador B pego no exame antidoping e é banido do futebol por tempo indeterminado;1
Revolução no uniforme! Time C fecha parceria milionária com empresa de renome para temporada promissora;1
Caos no campo! Árbitro D é banido após erro grotesco em jogo que decide campeonato;1
Descubra como uma simples mudança na sua dieta pode transformar a sua vida!;1
Você não vai acreditar como o açúcar pode destruir a sua saúde! Veja aqui;1
Saiba por que incluir mais vegetais na sua dieta pode mudar a sua vida!;1
Conheça os superalimentos que vão revolucionar a sua saúde agora mesmo!;1
Descubra por que as dietas da moda podem estar arruinando a sua saúde!;1
Você não vai acreditar como os alimentos industrializados estão destruindo o seu corpo! Veja aqui;1
Descubra o segredo das proteínas que vai transformar o seu corpo em poucas semanas!;1
Veja como beber mais água pode mudar a sua vida para sempre! Descubra aqui;1
Você precisa ver os benefícios incríveis da vitamina D para a sua saúde! Clique e descubra agora;1
Jennifer Aniston e Brad Pitt: o encontro secreto que pode trazer de volta o antigo romance!;1
Taylor Swift: a nova mãe adotiva! Veja as fotos fofas do novo membro da família;1
Leonardo DiCaprio: flagra exclusivo do galã de Hollywood aproveitando o sol em paraíso tropical;1
Angelina Jolie: ação solidária da estrela de Hollywood emociona fãs ao redor do mundo;1
Kim Kardashian: a nova coleção de maquiagem que está enlouquecendo os fãs!;1
Justin Bieber: o que será que o cantor está preparando de surpreendente? Descubra!;1
Kylie Jenner: os detalhes da festa de aniversário que está dando o que falar!;1
Rihanna: flagra exclusivo da cantora com seu novo amor! Quem será o sortudo?;1
Shawn Mendes e Camila Cabello: o casal que está conquistando o coração dos fãs!;1
Ryan Reynolds e Blake Lively: o casal que derrete corações em momento emocionante durante evento;1
Veja como ficar milionário da noite para o dia na bolsa de valores!;1
Descubra o segredo dos investidores milionários para lucrar com a mudança na taxa de juros!;1
Saiba como dobrar seu dinheiro rapidamente seguindo essas dicas de investimento!;1
As ações dessas empresas de tecnologia estão prestes a explodir - não perca a chance de lucrar!;1
Descubra como se proteger da crise econômica que está por vir com a alta do dólar!;1
Fuja desse novo imposto e mantenha seu dinheiro seguro com essas estratégias financeiras!;1
Invista em imóveis agora e garanta seu futuro financeiro - saiba como!;1
Descubra como lucrar com o crescimento da economia brasileira e atrair investimentos internacionais!;1
Torpedo de investimento: saiba como ficar rico investindo em criptomoedas!;1
Veja como se tornar um especialista em finanças e driblar a inflação com sucesso!;1
Cientistas descobrem a cura definitiva para o câncer de pele! Você não vai acreditar!;1
A Terra está esquentando mais rápido do que imaginávamos! Descubra o que isso significa para o futuro!;1
Vacina milagrosa contra o Zika é finalmente descoberta! Saiba mais sobre essa incrível novidade!;1
Cientistas encontram planeta habitável próximo à Terra! Será que encontramos vida alienígena?;1
Você sabia que beber álcool pode destruir seu fígado? Descubra os perigos escondidos nesse hábito!;1
Água encontrada em Marte! Será que existe vida no planeta vermelho? Descubra agora mesmo!;1
Plástico está destruindo os oceanos! Saiba como a humanidade está condenando os mares!;1
Descoberta revolucionária: cientistas têm a cura para o Alzheimer! Conheça esse tratamento incrível!;1
Catástrofe iminente: buraco na camada de ozônio está crescendo! Descubra como isso afetará sua vida!;1
Crimes chocantes: Polícia desvenda plano diabólico de assalto a banco!;1
Perseguição cinematográfica: Bandidos são capturados após troca de tiros com a polícia!;1
Terrível invasão: Família é feita refém por criminosos em assalto a casa!;1
Dramático resgate: Mulher é sequestrada e salva pela polícia em operação arriscada!;1
Quadrilha do terror: Polícia descobre bando criminoso que roubava carros na calada da noite!;1
Tragédia: Corpo de jovem desaparecida é encontrado em local macabro;1
Violência sem limites: Morador é brutalmente assassinado em ataque chocante na pacata cidade!;1
Golpe do século: Estelionatário é finalmente capturado após enganar centenas de pessoas na internet!;1
Onda de crimes: Polícia corre contra o tempo para deter ladrões que aterrorizam comerciantes locais!;1
Girafas e humanos têm algo em comum no pescoço? Descubra essa curiosidade chocante!;1
Você sabe por que a chuva tem aquele cheiro peculiar? A ciência finalmente revelou a resposta!;1
Descubra quanto tempo você desperdiça esperando em filas ao longo da vida - o número vai te chocar!;1
Revelado o segredo por trás da criação do Batman - você não vai acreditar nas inspirações por trás do herói!;1
A cerveja mais antiga da história foi descoberta no Egito - a bebida tem mais de 5 mil anos de idade!;1
Descubra a incrível habilidade de regeneração dos lagartos - o que eles podem fazer vai te surpreender!;1
Você pagaria mais de R$ 3 mil por uma colher de sorvete? Conheça o sorvete mais caro do mundo e seus ingredientes luxuosos!;1
Quantas estrelas existem no universo? A resposta vai te deixar boquiaberto e repensar sua noção de infinito!;1
